org,total_repos,lenguajes
ecolight15,14,Java
gourabop3,14,"JavaScript, TypeScript"
jonathanprocter,14,"HTML, JavaScript, Python, TypeScript"
leighmcculloch,14,"Go, HTML, JavaScript, Ruby, Rust"
mkusaka,14,"Go, JavaScript, Rust, TypeScript"
seutje,14,"HTML, JavaScript, Python, TypeScript"
wolfSSL,14,"C, Go"
xiayuhkust,14,"C#, JavaScript, Python, Solidity, TypeScript"
yashas-13,14,"HTML, JavaScript, PHP, PLpgSQL, Python"
Christoph9211,13,"HTML, JavaScript, Python, TypeScript"
Devin-Workshop,13,"HTML, Java, JavaScript, Python, TypeScript"
JaJaMalikov,13,"C, C++, HTML, Java, JavaScript, Python"
Kmberry1989,13,"CSS, HTML, JavaScript, TypeScript"
LimaVM,13,"HTML, JavaScript, Python"
MrGr33n98,13,"Jupyter Notebook, Python, Ruby, TypeScript"
Oichkatzelesfrettschen,13,"Assembly, C, Go, HTML, Makefile, Shell"
Zero3K,13,"C, C++, Pascal, Python"
aboldguess,13,"JavaScript, Python, TypeScript"
book000,13,"Python, Shell, TypeScript"
christianhelle,13,"C#, C++, Python, Rust, Zig"
dcSpark,13,"JavaScript, MDX, Rust, TypeScript"
h3ro-dev,13,"HTML, Python, TypeScript"
helloshowup,13,"JavaScript, Python"
hossain-khan,13,"HTML, Kotlin"
josh,13,"Go, Nix, Python"
konturio,13,"Dart, Java, JavaScript, Makefile, Python, Shell, TypeScript"
mcjdh,13,"HTML, JavaScript, Python"
openSVM,13,"C, JavaScript, Rust, Shell, TypeScript, Zig"
phdye,13,"C, Python"
qpig0218,13,"CSS, HTML"
shridharbhandiwad,13,"C, C++, Jupyter Notebook, MATLAB, Makefile, Python"
AffanP2L,12,"JavaScript, Python, Rich Text Format"
BoweryJG,12,"HTML, JavaScript, Roff, TypeScript"
CEDBRASIL,12,"Dockerfile, HTML, JavaScript, Python, Shell, TypeScript"
Dadudekc,12,Python
DerGamer009,12,"Java, Python, TypeScript"
PtiCalin,12,"JavaScript, Python, Shell, TypeScript"
amirbiron,12,"HTML, JavaScript, Python"
antiwork,12,"Python, Ruby, TypeScript"
ayan980801,12,"Python, Scala"
claserre9,12,"PHP, TypeScript"
codefitz,12,"HTML, Java, Python, Shell"
comeca-ai,12,"HTML, JavaScript, Python, Shell, TypeScript"
copp1723,12,"JavaScript, Python, TypeScript"
dbeley,12,"JavaScript, Nix, Python, Shell"
guitarbeat,12,"C++, CSS, JavaScript, MATLAB, Python, TypeScript"
kevinbdsouza,12,"HTML, JavaScript, Python, TypeScript"
kevinlin,12,"Java, JavaScript, Python, TypeScript"
mattleibow,12,"C#, CSS, HTML, TypeScript"
nashspence,12,"HTML, PLpgSQL, Python, Shell"
realStarYAM,12,"HTML, JavaScript"
sriharshaguthikonda,12,"C#, C++, HTML, Java, JavaScript, Kotlin, Python"
stevencowell,12,HTML
supermarsx,12,"C++, JavaScript, Python, Shell, TypeScript"
tokawa-ms,12,"JavaScript, Python"
AaronFriel,11,"C, C++, Rust"
Adal612Git,11,"C++, HTML, Java, JavaScript, Python, Rust, TypeScript"
Aishgadol,11,"C, GDScript, Python"
Azeez1,11,"HTML, JavaScript, Python, TypeScript"
BenGothard,11,"JavaScript, Python"
Bogdusik,11,"CSS, HTML, Java"
Dexter2099,11,"Blade, C#, HTML, JavaScript, Python, TypeScript"
DomC21,11,"HTML, Python, TypeScript"
FriendsOfREDAXO,11,"JavaScript, PHP"
Hoope1,11,Python
JPA31000,11,"HTML, JavaScript"
JohnnyLawDGB,11,"Dart, Dockerfile, Elm, JavaScript, Python, TypeScript"
Kgkkjjj,11,"C, PHP, Python"
MyLittleCrab,11,"ABAP, JavaScript, Rust, Visual Basic .NET"
Numi2,11,"JavaScript, Rust, Swift, TypeScript"
OpenHFT,11,Java
PSModule,11,PowerShell
Repelstelertje,11,PHP
Rich43,11,"HTML, JavaScript, Python, TypeScript"
SGRishi,11,"HTML, JavaScript, Python"
ShHaWkK,11,"C, JavaScript, Kotlin, PowerShell, Python, Shell, TypeScript"
VictorRabelo,11,"C#, JavaScript, PHP, Python, TypeScript, Vue"
acrinym,11,"C, C#, C++, HTML, Java, JavaScript, Ren'Py"
aziz13-coder,11,"JavaScript, Python"
balpomorelitm,11,"CSS, HTML, JavaScript, Python"
celestiaorg,11,"Go, Rust, Solidity, TypeScript"
chrisns,11,"AppleScript, Dockerfile, Go, HTML, JavaScript, SCSS, TypeScript"
cognition-workshop,11,—
compusom,11,"Python, TypeScript"
cyrus07424,11,"Java, Kotlin, TypeScript, Vue"
dfinke,11,"HTML, JavaScript, PowerShell"
drs-az,11,"HTML, JavaScript"
gaffam,11,"HTML, Python"
grandcanyonsmith,11,"HTML, JavaScript, Python, TypeScript, Vue"
haihttt974,11,"C#, C++, HTML, Python"
jackgreenberg04,11,"C++, Go, Java, JavaScript, Python"
jttd3v,11,"Batchfile, HTML, JavaScript, PHP, Python, TypeScript"
kevinprueba2000,11,"HTML, JavaScript, PHP"
nSanity99,11,"JavaScript, PHP"
ncomputers,11,"PHP, Python"
nodetool-ai,11,"Python, TypeScript"
okamotomiak,11,"HTML, JavaScript"
saltman80,11,"HTML, JavaScript, PHP, TypeScript"
smkbhd2018,11,"CSS, HTML, JavaScript, TypeScript"
sol-kismulet,11,"HTML, JavaScript"
timrogers,11,"HTML, Ruby, Rust, TypeScript"
vilosource,11,"JavaScript, Python"
zbest1000,11,"JavaScript, Python, Shell, TypeScript"
AbhiJeetAaNaNd2004,10,Python
